Content ID,Title,Severity,Issue summary,Issue description,Property name,Value,Data source,Feed name,Feed upload start time
45747404603710,Men's classic tee,should_fix,Add at least two images for these items,Add at least 2 different images for each item to help customers with their purchase decision.,AdditionalImageURLs,[],MULTIPLE,,
45747404603710,Men's classic tee,should_fix,Add at least two images for these items,Add at least 2 different images for each item to help customers with their purchase decision.,ImageURL,"https:\/\/cdn.shopify.com\/s\/files\/1\/0773\/2258\/4382\/files\/Men-s-classic-tee-Cody-Trade-1692392161233_1080x1080_pad_ffffff.png.jpg?v=1692392263",MULTIPLE,,
45763853320510,dicks Men’s windbreaker,should_fix,Add at least two images for these items,Add at least 2 different images for each item to help customers with their purchase decision.,AdditionalImageURLs,[],PARTNER_INTEGRATION,,
45763853320510,dicks Men’s windbreaker,should_fix,Add at least two images for these items,Add at least 2 different images for each item to help customers with their purchase decision.,ImageURL,"https:\/\/cdn.shopify.com\/s\/files\/1\/0773\/2258\/4382\/files\/dicks-Mens-windbreaker-Cody-Trade-1692394051490_1080x1080_pad_ffffff.jpg.jpg?v=1692394056",PARTNER_INTEGRATION,,
45747405390142,Men's classic tee,should_fix,Add at least two images for these items,Add at least 2 different images for each item to help customers with their purchase decision.,AdditionalImageURLs,[],MULTIPLE,,
45747405390142,Men's classic tee,should_fix,Add at least two images for these items,Add at least 2 different images for each item to help customers with their purchase decision.,ImageURL,"https:\/\/cdn.shopify.com\/s\/files\/1\/0773\/2258\/4382\/files\/Men-s-classic-tee-Cody-Trade-1692392197242_1080x1080_pad_ffffff.png.jpg?v=1692392263",MULTIPLE,,
45747403850046,Men's classic tee,should_fix,Add at least two images for these items,Add at least 2 different images for each item to help customers with their purchase decision.,AdditionalImageURLs,[],MULTIPLE,,
45747403850046,Men's classic tee,should_fix,Add at least two images for these items,Add at least 2 different images for each item to help customers with their purchase decision.,ImageURL,"https:\/\/cdn.shopify.com\/s\/files\/1\/0773\/2258\/4382\/files\/Men-s-classic-tee-Cody-Trade-1692392122680_1080x1080_pad_ffffff.png.jpg?v=1692392263",MULTIPLE,,
45747405619518,Men's classic tee,should_fix,Add at least two images for these items,Add at least 2 different images for each item to help customers with their purchase decision.,AdditionalImageURLs,[],MULTIPLE,,
45747405619518,Men's classic tee,should_fix,Add at least two images for these items,Add at least 2 different images for each item to help customers with their purchase decision.,ImageURL,"https:\/\/cdn.shopify.com\/s\/files\/1\/0773\/2258\/4382\/files\/Men-s-classic-tee-Cody-Trade-1692392206259_1080x1080_pad_ffffff.png.jpg?v=1692392263",MULTIPLE,,
47550037000510,Unisex heavy blend zip hoodie with pop up XIXU Stunna Shades -  Cody Trade,should_fix,Information in these fields should be 65 characters or less: "Name",Item Name in the  category needs to be 65 characters or less.,Name,"Unisex heavy blend zip hoodie with pop up XIXU Stunna Shades -  Cody Trade",MULTIPLE,,
47550035788094,Unisex heavy blend zip hoodie with pop up XIXU Stunna Shades -  Cody Trade,should_fix,Information in these fields should be 65 characters or less: "Name",Item Name in the  category needs to be 65 characters or less.,Name,"Unisex heavy blend zip hoodie with pop up XIXU Stunna Shades -  Cody Trade",MULTIPLE,,
47550036836670,Unisex heavy blend zip hoodie with pop up XIXU Stunna Shades -  Cody Trade,should_fix,Information in these fields should be 65 characters or less: "Name",Item Name in the  category needs to be 65 characters or less.,Name,"Unisex heavy blend zip hoodie with pop up XIXU Stunna Shades -  Cody Trade",MULTIPLE,,
47550036607294,Unisex heavy blend zip hoodie with pop up XIXU Stunna Shades -  Cody Trade,should_fix,Information in these fields should be 65 characters or less: "Name",Item Name in the  category needs to be 65 characters or less.,Name,"Unisex heavy blend zip hoodie with pop up XIXU Stunna Shades -  Cody Trade",MULTIPLE,,
47550036214078,Unisex heavy blend zip hoodie with pop up XIXU Stunna Shades -  Cody Trade,should_fix,Information in these fields should be 65 characters or less: "Name",Item Name in the  category needs to be 65 characters or less.,Name,"Unisex heavy blend zip hoodie with pop up XIXU Stunna Shades -  Cody Trade",MULTIPLE,,
45764121919806,Men's swim trunks,should_fix,"Remove duplicated images for these items.: ""ImageURL"", ""AdditionalImageURLs""",Avoid duplicate images and add images that feature your item from different angles instead.,ImageURL,"https:\/\/cdn.shopify.com\/s\/files\/1\/0773\/2258\/4382\/files\/Men-s-swim-trunks-Cody-Trade-1692394069182_1080x1080_pad_ffffff.jpg.jpg?v=1692394091",MULTIPLE,,
45764121919806,Men's swim trunks,should_fix,"Remove duplicated images for these items.: ""ImageURL"", ""AdditionalImageURLs""",Avoid duplicate images and add images that feature your item from different angles instead.,AdditionalImageURLs,"[""https:\/\/cdn.shopify.com\/s\/files\/1\/0773\/2258\/4382\/files\/Men-s-swim-trunks-Cody-Trade-1692394063502.png?v=1692394091"",""https:\/\/cdn.shopify.com\/s\/files\/1\/0773\/2258\/4382\/files\/Men-s-swim-trunks-Cody-Trade-1692394066870.jpg?v=1692394091"",""https:\/\/cdn.shopify.com\/s\/files\/1\/0773\/2258\/4382\/files\/Men-s-swim-trunks-Cody-Trade-1692394075274.jpg?v=1692394091"",""https:\/\/cdn.shopify.com\/s\/files\/1\/0773\/2258\/4382\/files\/Men-s-swim-trunks-Cody-Trade-1692394078638.jpg?v=1692394091"",""https:\/\/cdn.shopify.com\/s\/files\/1\/0773\/2258\/4382\/files\/Men-s-swim-trunks-Cody-Trade-1692394081926.jpg?v=1692394091"",""https:\/\/cdn.shopify.com\/s\/files\/1\/0773\/2258\/4382\/files\/Men-s-swim-trunks-Cody-Trade-1692394085112.png?v=1692394091"",""https:\/\/cdn.shopify.com\/s\/files\/1\/0773\/2258\/4382\/files\/Men-s-swim-trunks-Cody-Trade-1692394088762.png?v=1692394091""]",MULTIPLE,,
45764121985342,Men's swim trunks,should_fix,"Remove duplicated images for these items.: ""ImageURL"", ""AdditionalImageURLs""",Avoid duplicate images and add images that feature your item from different angles instead.,ImageURL,"https:\/\/cdn.shopify.com\/s\/files\/1\/0773\/2258\/4382\/files\/Men-s-swim-trunks-Cody-Trade-1692394069182_1080x1080_pad_ffffff.jpg.jpg?v=1692394091",MULTIPLE,,
