Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,508 Larkin St,Amazon MCF by Codisto,Printful
backpack-its-a-hood-day,Backpack hood day,Title,Default Title,,,,,4138439_9063,420292,,0,not stocked,9999
cody-trade-branded-mockup-mug-with-color-inside,Cody trade branded Mug with Color Inside,Color,Black,Size,11oz,,,3542181_11051,69120010,,0,not stocked,9999
cody-trade-branded-mockup-mug-with-color-inside,Cody trade branded Mug with Color Inside,Color,Black,Size,15oz,,,3542181_17196,69120010,,0,not stocked,9999
cody-trade-branded-mockup-mug-with-color-inside,Cody trade branded Mug with Color Inside,Color,Dark Blue,Size,11oz,,,3542181_17362,69120010,,0,not stocked,9999
cody-trade-branded-mockup-mug-with-color-inside,Cody trade branded Mug with Color Inside,Color,Red,Size,11oz,,,3542181_11049,69120010,,0,not stocked,9999
cody-trade-branded-mockup-mug-with-color-inside,Cody trade branded Mug with Color Inside,Color,Red,Size,15oz,,,3542181_17200,69120010,,0,not stocked,9999
cody-trade-branded-mockup-mug-with-color-inside,Cody trade branded Mug with Color Inside,Color,Orange,Size,11oz,,,3542181_12579,69120010,,0,not stocked,9999
cody-trade-branded-mockup-mug-with-color-inside,Cody trade branded Mug with Color Inside,Color,Blue,Size,11oz,,,3542181_11050,69120010,,0,not stocked,9999
cody-trade-branded-mockup-mug-with-color-inside,Cody trade branded Mug with Color Inside,Color,Blue,Size,15oz,,,3542181_17197,69120010,,0,not stocked,9999
cody-trade-branded-mockup-mug-with-color-inside,Cody trade branded Mug with Color Inside,Color,Pink,Size,11oz,,,3542181_12578,69120010,,0,not stocked,9999
cody-trade-branded-mockup-mug-with-color-inside,Cody trade branded Mug with Color Inside,Color,Yellow,Size,11oz,,,3542181_11048,69120010,,0,not stocked,9999
broken-glass-unisex-bomber-jacket,clutch on back and broken glass front Unisex Bomber Jacket,Size,S,,,,,4353282_10878,620332,,0,not stocked,9999
broken-glass-unisex-bomber-jacket,clutch on back and broken glass front Unisex Bomber Jacket,Size,2XL,,,,,4353282_10882,620332,,0,not stocked,9999
broken-glass-unisex-tank-top,Broken glass Unisex Tank Top,Size,XS,Material,cotton,,,3118068_9049,610990,,0,not stocked,9999
broken-glass-unisex-tank-top,Broken glass Unisex Tank Top,Size,S,Material,cotton,,,3118068_9050,610990,,0,not stocked,9999
broken-glass-unisex-tank-top,Broken glass Unisex Tank Top,Size,M,Material,cotton,,,3118068_9051,610990,,0,not stocked,9999
broken-glass-unisex-tank-top,Broken glass Unisex Tank Top,Size,L,Material,cotton,,,3118068_9052,610990,,0,not stocked,9999
broken-glass-unisex-tank-top,Broken glass Unisex Tank Top,Size,XL,Material,cotton,,,3118068_9053,610990,,0,not stocked,9999
broken-glass-unisex-tank-top,Broken glass Unisex Tank Top,Size,2XL,Material,cotton,,,3118068_9054,610990,,0,not stocked,9999
men-s-high-top-canvas-shoes-2,big  shroomin shoe,Size,5,,,,,2082990_12903,640391,,0,not stocked,9999
men-s-high-top-canvas-shoes-2,big  shroomin shoe,Size,5.5,,,,,2082990_12904,640391,,0,not stocked,9999
men-s-high-top-canvas-shoes-2,big  shroomin shoe,Size,6,,,,,2082990_12905,640391,,0,not stocked,9999
men-s-high-top-canvas-shoes-2,big  shroomin shoe,Size,6.5,,,,,2082990_12906,640391,,0,not stocked,9999
men-s-high-top-canvas-shoes-2,big  shroomin shoe,Size,7,,,,,2082990_12907,640391,,0,not stocked,9999
men-s-high-top-canvas-shoes-2,big  shroomin shoe,Size,7.5,,,,,2082990_12908,640391,,0,not stocked,9999
men-s-high-top-canvas-shoes-2,big  shroomin shoe,Size,8,,,,,2082990_12909,640391,,0,not stocked,9999
men-s-high-top-canvas-shoes-2,big  shroomin shoe,Size,8.5,,,,,2082990_12910,640391,,0,not stocked,9999
men-s-high-top-canvas-shoes-2,big  shroomin shoe,Size,9,,,,,2082990_12911,640391,,0,not stocked,9999
men-s-high-top-canvas-shoes-2,big  shroomin shoe,Size,9.5,,,,,2082990_12912,640391,,0,not stocked,9999
men-s-high-top-canvas-shoes-2,big  shroomin shoe,Size,10,,,,,2082990_12913,640391,,0,not stocked,9999
men-s-high-top-canvas-shoes-2,big  shroomin shoe,Size,10.5,,,,,2082990_12914,640391,,0,not stocked,9999
men-s-high-top-canvas-shoes-2,big  shroomin shoe,Size,11,,,,,2082990_12915,640391,,0,not stocked,9999
men-s-high-top-canvas-shoes-2,big  shroomin shoe,Size,11.5,,,,,2082990_12916,640391,,0,not stocked,9999
men-s-high-top-canvas-shoes-2,big  shroomin shoe,Size,12,,,,,2082990_12918,640391,,0,not stocked,9999
men-s-high-top-canvas-shoes-2,big  shroomin shoe,Size,12.5,,,,,2082990_12919,640391,,0,not stocked,9999
men-s-high-top-canvas-shoes-2,big  shroomin shoe,Size,13,,,,,2082990_12920,640391,,0,not stocked,9999
big-shrooms-minimalist-backpack,BIG SHROOMS Backpack,Color,big,,,,,3469283_10876,420292,US,0,not stocked,9999
men-mushrooming-night-tripper-shoe,Cody Trades LLc - Mushrooming Night Tripper Custom Pattern  Shoes,Size,5,,,,,2790025_14844,640391,,0,not stocked,9999
men-mushrooming-night-tripper-shoe,Cody Trades LLc - Mushrooming Night Tripper Custom Pattern  Shoes,Size,5.5,,,,,2790025_14845,640391,,0,not stocked,9999
